,/out- X,/out- Y,/out+ Y,/net2 Y,/net02 Y,/net07 Y
570,1.70043934486126,0.07059744051037177,0.07053987100083174,0.2502760134595986,0.25,0.01751098362153151
571,1.702444218564776,0.07199156987114347,0.06916592006575907,0.2515297181089848,0.25,0.01756110546411941
572,1.7044527251055508,0.07331605535894868,0.06781968518800183,0.2527613745264434,0.25,0.017611318127638758
573,1.706518071040894,0.0745817077234813,0.06649970577625086,0.2539818968695235,0.25,0.01766295177602236
574,1.7087094982567408,0.07580280552232015,0.06520267558921429,0.2552032707687368,0.25,0.01771773745641854
575,1.7111148732783317,0.07698631567789119,0.06393119068659275,0.25642968672328403,0.25,0.0177778718319583
576,1.713834025709843,0.07811420078779682,0.06271079473140355,0.2576382410745073,0.25,0.017845850642746068
577,1.7169899375293591,0.07913026890603862,0.06160255354524995,0.2587600191920595,0.25,0.017924748438233967
578,1.7207816938983282,0.07991342831175532,0.06071799046401068,0.2596508097877046,0.25,0.01801954234745819
579,1.725418854367725,0.0801951807443,0.060297302402457724,0.2599965371731861,0.25,0.01813547135919313
580,1.730418854367725,0.07965070921484338,0.06065061508227841,0.2594259559799353,0.25,0.01826047135919313
581,1.735418854367725,0.07824598042475173,0.061836736468810626,0.2579326965408713,0.25,0.01838547135919313
582,1.740418854367725,0.07603984387994163,0.06383716713288727,0.2556629294940401,0.25,0.01851047135919313
583,1.745149697817691,0.07331922408918679,0.06641118451696502,0.2530005801808196,0.25,0.01862874244544228
584,1.748614671052091,0.07105386359783289,0.06864075020079223,0.2508693291404177,0.25,0.01871536677630228
585,1.751227899440421,0.06925502944923742,0.07043903916647888,0.2492292531793513,0.25,0.01878069748601052
586,1.7534969504014362,0.06766486890894002,0.07201690828992993,0.2478204375990013,0.25,0.01883742376003589
587,1.755607834134613,0.06619388886226353,0.07344913105322559,0.2465489504263055,0.25,0.018890195853365342
588,1.757638455959349,0.06481998352809286,0.07475946878706806,0.2453827551519624,0.25,0.01894096139898374
589,1.759672943566546,0.06351828221706285,0.07598194974580952,0.2442896262428765,0.25,0.01899182358916365
590,1.7617952897243419,0.06227477092279079,0.07714458263287527,0.2432488549240319,0.25,0.01904488224310856
591,1.7640827706424231,0.06109725848018765,0.0782528507558976,0.2422618218388252,0.25,0.01910206926606059
592,1.766567998862175,0.06003776949469512,0.07926824244283102,0.2413709095902564,0.25,0.019164199971554382
593,1.7692760415411248,0.05916820120540519,0.08012988333727206,0.2406397885257629,0.25,0.019231901038528117
594,1.7722544134246299,0.05857488556834695,0.08076060371693597,0.2401484303515529,0.25,0.01930636033561574
595,1.775616939269461,0.05837785366020359,0.08105336069157618,0.24000751207973603,0.25,0.01939042348173652
596,1.7796082087816298,0.0588035851189526,0.08080858591730805,0.2404162534369895,0.25,0.01949020521954076
597,1.7846082087816297,0.06032725953922347,0.07959475177793712,0.2417676009388312,0.25,0.01961520521954076
598,1.7896082087816299,0.06286253500913946,0.07743080053246812,0.2439247930192771,0.25,0.01974020521954075
599,1.7933579522929093,0.06531251854645274,0.07529168600672075,0.2459467696519476,0.25,0.01983394880732273
600,1.796049158435282,0.06726872974749425,0.07355427700758595,0.2475430297225156,0.25,0.01990122896088205
601,1.7983012174113249,0.06896184219596803,0.07201054403711564,0.2489346490230091,0.25,0.01995753043528312
602,1.8003741107459852,0.0705106983877181,0.07054693911008883,0.2502350390682803,0.25,0.020009352768649617
603,1.802374643840335,0.07195570208630643,0.06912754112624267,0.2514865030438777,0.25,0.02005936609600836
604,1.8043554626949532,0.07330882814033278,0.06774993071962702,0.2527025876920336,0.25,0.02010888656737381
605,1.806382614960762,0.07459388889141423,0.06640380497660026,0.2539036823279734,0.25,0.020159565374019042
606,1.808544193464097,0.07584036249839056,0.06507359177298493,0.2551142952188639,0.25,0.02021360483660242
607,1.8109421782109199,0.07706363226626009,0.0637559575686396,0.2563462047595799,0.25,0.02027355445527301
608,1.813686550169059,0.07824587376187153,0.062477412605741675,0.2575781079434822,0.25,0.02034216375422647
609,1.816898030463076,0.07932007326983254,0.06131059955244531,0.2587320215108875,0.25,0.02042245076157691
610,1.8207970911149132,0.08015229637024296,0.0603774431994826,0.2596533394854005,0.25,0.02051992727787282
611,1.8256287080918092,0.08043590634063201,0.059950147426171864,0.2599921986212201,0.25,0.020640717702295218
612,1.830628708091809,0.07984185230404285,0.06034682249462851,0.25938110669934,0.25,0.020765717702295218
613,1.8356287080918092,0.07836677075271656,0.06159538368456086,0.257851726691715,0.25,0.020890717702295218
614,1.8406287080918091,0.07606851717336767,0.06368222616927413,0.2555537649693081,0.25,0.021015717702295218
615,1.8455284243863919,0.07312775630523706,0.06646712746892966,0.25277275618905604,0.25,0.0211382106096598
616,1.8490519650066017,0.07072458700543095,0.06883933248899203,0.250595315758128,0.25,0.02122629912516506
617,1.851637175535126,0.06887497028795242,0.07069427329947316,0.2489731454674144,0.25,0.02129092938837815
618,1.8538649057320882,0.06725771740483844,0.07230155523215967,0.2475954052315146,0.25,0.02134662264330221
619,1.855937623045676,0.06576562547312853,0.07375341254258777,0.2463552230073417,0.25,0.0213984405761419
620,1.8579365954020917,0.06437220590352623,0.07507880593723097,0.2452174119500972,0.25,0.0214484148850523
621,1.8599506245289419,0.06304876127624462,0.07631692395517811,0.2441472742804317,0.25,0.02149876561322355
